Crop,Model,R²,MSE,RMSE,MAE
Mesta,CatBoost,0.8367611368645964,1.5963487375957488,1.2634669515249497,0.8560262643818649
Mesta,SVM,0.8777300624573177,1.1957046054668323,1.0934827870007064,0.6657903178207223
Mesta,MLP,0.86095335295317,1.35976773677976,1.1660907926828683,0.7871838307832729
Onion,Random Forest,0.8340135647136272,10.740066801177754,3.277204113444531,2.309073065675153
Onion,Gradient Boosting,0.8540036041195314,9.446621597615316,3.073535683478445,2.280952751886486
Onion,XGBoost,0.8554129397983538,9.35543125841849,3.0586649470673457,2.2013708337890647
Onion,CatBoost,0.868664086485973,8.498022637215813,2.915136812778401,2.1703310619167206
Onion,SVM,0.8896311952658026,7.141356663069081,2.6723316903163576,1.9210536950466168
Onion,MLP,0.84707596086707,9.89487118606991,3.14561141689019,2.2239049506175625
Other  Rabi pulses,Random Forest,0.7281562316648883,0.0612921745912323,0.2475725642942536,0.1499494455335605
Other  Rabi pulses,Gradient Boosting,0.8060979675017834,0.0437187775252763,0.2090903573225611,0.1431956346954435
Other  Rabi pulses,XGBoost,0.5004608471360699,0.1126302845197046,0.3356043571226462,0.1618411292372176
Other  Rabi pulses,CatBoost,0.7992714860327925,0.0452579332565396,0.2127391201837114,0.1483826390791009
Other  Rabi pulses,SVM,0.6892466822732184,0.0700650477351939,0.2646980312265166,0.1637053436209165
Other  Rabi pulses,MLP,0.7089156721229226,0.0656303124190798,0.2561841377194925,0.1732755729469708
Potato,Random Forest,0.7997240493933498,7.683301463958677,2.7718768847044197,1.8830504991050965
Potato,Gradient Boosting,0.7853065075610952,8.236409912231691,2.8699146175856334,1.984746342574372
Potato,XGBoost,0.7781751617384759,8.509993832981824,2.917189372149471,1.9752137002558972
Potato,CatBoost,0.8169045961286343,7.024194269695092,2.65031965424835,1.8423518420449565
Potato,SVM,0.8526434118288415,5.653125530998349,2.3776302342875666,1.6465956472125658
Potato,MLP,0.7255090401497983,10.530454541706954,3.2450661844879147,2.010478160599957
Rapeseed &Mustard,Random Forest,0.8112762919841442,0.053515001641004,0.2313330967263526,0.1221566639397879
Rapeseed &Mustard,Gradient Boosting,0.8977700641312472,0.0289885952501336,0.1702603748678289,0.1133917475881122
Rapeseed &Mustard,XGBoost,0.8751314200650178,0.0354080699790457,0.1881703217275395,0.1184699077697944
Rapeseed &Mustard,CatBoost,0.8759715416401016,0.0351698428482738,0.1875362440923721,0.1238663173819649
Rapeseed &Mustard,SVM,0.6283575630022284,0.1053839278323819,0.3246289078815716,0.1275692932288697
Rapeseed &Mustard,MLP,0.915447496061165,0.0239759351626219,0.1548416454401784,0.1065839461424173
Rice,Random Forest,0.8424275613347052,0.0855739243172568,0.2925302109479581,0.2087480172160002
Rice,Gradient Boosting,0.8750929355631862,0.0678341197822739,0.2604498412022437,0.1899595707809429
Rice,XGBoost,0.8698187209026648,0.0706984230196639,0.2658917505671507,0.1902815936970286
Rice,CatBoost,0.8764019225950379,0.0671232393888196,0.2590815303892186,0.1879817429466329
Rice,SVM,0.88193538947678,0.0641181423035605,0.2532156043840121,0.1805605454692428
Rice,MLP,0.8851875214513366,0.0623519851137769,0.2497037947524565,0.1850041229449317
